seoul	jeju
무슨 무슨언니나 나나	무슨 무지언니나 나나
난남하고악수하기가 그렇게도 싫어	난이남하고이악수하기가 그렇게도 싫어
언니나 나나 나도 마찬가지 나도 여기 굳은살 있는거보세요	언니나 나나 나도 마찬가지 나도 여기 쟁이진거봅써
일을 많이 해 했다는거지	일을 많이 해 했다는거주게
아 그래? 두릅밭에만	아 기?  두릅밭디만
할머니 할머니는 항상나만 데리고두릅밭에다니고	할머니 할머니는 느량나만 돌앙두릅밭디댕기고
음 아 그래?	음 아 기이?
우리 할머니 어디든 시골에할머니들 돈이라고하면눈 밝히잖아	우리 할머니 어디든 촌에할머니들 돈이옌허믄눈 벌겅하잖아
그렇지	기주게
그죠	이
맞지	맞주게
매일 나 데리고 산마 파러마늘파러	매날 나 도랑예 산마 파래마농파래
귤주우러 동백따러그	미깡주스레 돔박타래그
지네는안 잡았어?	주냉인안 잡안?
민도꼬장 따러그런거 늘 나를 데리고갔어	민도꼬장 타래이그런거 늘 나를 데령갔어
그러면요일요일만 돌아와 가면 난 매일요빌어	거믄예일요일만 돌아와 가믄 난 맨날예빌어
아  비오라고비오라고	아  비오랜비오랜
어어 그러면친구들하고 놀 수 있잖아	어어 겅허믄친구들하고 놀 수 있잖아
다른 애들은 막 뛰면서노는데나는 뭐 맨날 할머니가나만 데리고가	다른 애들은 막 들라켱노는디나는 뭐 맨날 할망이나만 도랑가
하루는요 하루는 열세 살 때 국민학교 육학년때요	허루는예 하루는 열세 살 때 국민학교 육학년때예
막 어떤 사람이 그 잡초 서로 매 주기 시골에서는 하잖아요그러니까요	막 어떤 사람이 그 검질 서로 매 주기 시골에서는 허잖아거난예
우리 할머니 나 까지데리고 간거야거기가보니까요	우리 할머니 나 꼬지도랑 간거라그디강보난예
작은귤나무가심어진밭인데요	쪼골락한미깡낭이싱거진밭인디예
잡초가잡초가요그 귤나무밭을요넘긴 거야	검질이검질이예그 미깡낭밭을예넘어부런
안 보여 그 귤나무밭이 이제야 금방 심은귤나무밭이고요	안 보여 그 미깡낭밭이 이제야 금방 싱근미깡낭밭이고예
그러니까 잡초는막 깊고하니까그래서 이제	게난 검질은막 집고허니까겡 이제
다른 일꾼일꾼일꾼 알죠?	다른 놉놉놉 알죠?
알죠예	알주게예게
몇사람 더 구하고또 그 집에 아이들 그 집에도 좀 이케 그 아버지가 각시가 셋	몇사람 더 빌고또 그 집에 아이들 그 집에도 좀 이케 그 아버지가 각시가 셋
응  옛날에 그런게많았어	응  옛날에 경헌거많아서
그러니까그 그건 큰집였거든 잡초메려고간 집은	게난그 그건 큰집였거든 검질메래간 집은
큰집인데 그 둘째 아니 셋째집 애기들도 거기와서	큰집인데 그 둘째 아니 셋째집 애기들도 그디왕
그 셋째집 각시가 세번째 각시가 죽어 버린거야	그 셋째집 각시가 세번째 각시가 죽어분거라
그 얘기들도 같이잡초를맸어 그 얘기들	그 얘기들도 고찌검질을맸어 그 얘기들
오빠고 언니고 나한테는 언니 오빠 나이고 이렇게 있는데 아 나	오빠고 언니고 나한테는 언니 오빠 나이고 영 이신디 아 나
그 눈에 잡초를 보니까너무	그 눈에 검질을 보난이너무이
아니 어떻게하지	아니 어떵허코
겁이 났어?	겁난?
하루종일이걸 메지 그죠?	호루종일이걸 메어 이?
그렇게 완젼 그랬는데할머니가 너무 무서웠어	겅 완젼 겅해신디할머니가 너무 무서웠어
어 그래서 아뭇소리 못했어그래서요	어 그래서 아뭇소리 못핸겡예
잡초어쨌든 막 멨어 막 메니까 우리 할머니 막 나를 부추겨	검질어쨌든 막 멘 막 메니까 우리 할머니 막 나를 추구려
아이고 잘 한다	아이고 잘 햄쪄
잡초잘 멘다고 이쪽으로도어서어서메 와라	검질잘 멘댄 이팬데래도혼저혼저매 오라
그런데 있잖아어느 한 순간엔	겅핸디 있잖아이어느 한 순간엔
어 이 수박 봐라하는 소리가 나는 거야그 주인집 아들이ㅣ	어 이 첨매보라게허는 소리가 나는거라그 주인집 아들이이
그 당시 수박이라고하면	그 당시 첨매옌허면
아예 사는건 생각도 못하니까	아예 사는건 생각도 못허니까
수박도 심지도우리집은 	첨매도 갈지도우리집은 
으응 우리도 없었어	으응 우리도 어서나서
그래서요 남의집에요	겡예 놈이집이예
노각이라도하나심었으면너무 귀해보여	물외라도호나갈아시믄너무 귀해보여
우리 집은 노각도안 심어어머니 아버지가 어	우리 집은 물외도안 갈아어머니 아버지가 어
그래서요 수박봐라하니까완	겡예 첨매보라허니까완
완젼 뛰어갔어요 진짜 수박있어?	완젼 뛰어간예 진짜 촘매이시냐?
그러니까옆에서들도 그 어른들도 다	거난옆에서들도 그 어른들도 다이
완젼 다 놀랜 거야	완젼 다 놀랜거
수박이있단 말이야?	첨매가있단 말이가
아이고 맛 좋겠다어서잘라 봐라 먹어 보자	아이고 맛조켜혼저벌르라 먹어 보게
이렇게 하면서그랬는데	영 허멍이경했는디
그 사람 수에다 나눠 주니까	그 사람 수정에다 갈라주니까
근데 그 한 그 한 조각이너무나	근데 그 한 그 한 조각이이너무나
우리 할머니 하는말	우리 할머니 허는말
너 여기 잡초 메러잘 왔지	느 이디 검질 매래잘 오라시녜이
수박도먹고	첨매도먹곡
그러니까그 다음은요 막 개똥참외있죠?	거난그 다음은예 막 갈쟁기있죠?
응 개똩참외간단하게 우리 개똥참외	응 갈쟁이간단하게 우리 간잘기래
응 그것도 나고 어떤 땐 노각도나오고	응 그것도 나고 어떤 땐 물외도나오곡게
개똥참외잡초메다가보면보이잖아	간잘기는검질매당보믄보이잖아
심고 내버린 모양이야그 막 어쩌다	심엉 내버린 모양이라그 막 어쩌다
개똥참외가 뭐예요?	간절기가 뭐꽈?
아 개똥참외라고 하는거야	아 개똥참외라고 하는거
잡초 메다가 보면많이	검질 매당 보믄하영
아마 심을수도있고아니면	아마 싱글수도있고이아니면
우연히 자란나	도 나신가
우연히 자란것일수도 있어 그러니까	도 난것일수도 있어 거난이
그걸 한입 먹으니까완전히 그 다음부터	그걸 혼 직 먹으난이완전히 그 다음부터
또 잡초메다어찌 나올까봐서	또 검질매당어찌 나와지카부댄
나올수있으니까	나올수있으니깐이
완젼 더 열심히 메는거 아니야	완젼 더 열심히 메는거 아니
그 다음에 점심을 먹잖아 우리는 정말 짠짠한 마늘지있고	그 다음에 점심을 먹잖아 우리는 정말 짠짠한 마농지나있고
무말랭이	생기리
어 그런거 있는데거긴 가면아무래도 일꾼구해서일 할 때니까	어 그런거 있는디거긴 가믄아무래도 놉빌엉일 할 때니까
조금 더 반찬들이많이 잘	조금 더 촐래들을많이 잘
우리집에서 안 먹어본 것들이 막 널린거야	우리집에서 안 먹어본 것들이 막 널어진거라
나 완젼막막 들고서막 먹었어 완전 완젼 배부르고 너무 행복한 거야	나 완전이막막 들먹들먹막 먹었어 완전 완젼 배부르고 너무 행복한 거라
그렇지	기주게
먹으니까 와 별세상인거야 완젼 그래서	먹어지니까 와 별세상인거라 완젼 겡으네
이젠 막 기운내서막 멘거야막 멨어	이젠 막 기운내그네막 멘거아니막 맨
할머니가 하는말이 나 더 잘 메래또 부추겨	할머니가 허는말이 나 더 잘 매랜또 추그려
오늘 너 잡초 멘품삯은막 많이줄꺼래	오늘 느 검질맨품은막 하영줄거랜
그러고그거 너가 멘거 너 다 줄꺼래	겅허곡그거 느가 멘거 느 다 줄꺼랜
아이고 아이고 막 부추겼구나	아이고 아이고 막 추그렸구나
그렇게 말하는 거야 근까	겅 곧는거라 근까
뭐냐 난돈을 벌어도 막 어머니를 줘야할거다 이렇게 해야 되는데	뭐냐 난게돈을 벌어도 막 어머니를 줘야할거다 이렇게 해야 되는디
할머니가 너 전부 가지라고하니까	할머니가 느 몬 아스랜허니까
허 근데 난 그렇게까지줄줄 몰랐거든	허 근디 난 그자락까지줄줄 몰랐거든
그런데 있잖아요 한오후에밥 먹을 때가지는그 행복감으로	그런데 있잖아예 한이낮후제밥 먹을 때까지는이그 행복감으로
어우 막곡갱이오래 잡으니까이거 막 손도 막	어우 막예골갱이오래 잡아놔니깐예이거 막 손도 막
진물어터지고	군물어터지곡게
어어 어깨도 너무 아프게 막 미치겠는거야그런데요	어어 어깨도 너무 아프게 막 미치겠는거라겅헌디예
그지 초등학교 오학년인데	게 초등학교 오학년인디게
그날 하루 해가 끝나고하 일품을 주는데요	그날 하루 해가 끝낭하 일품을 주는데예
그때 당시에 어른 일꾼 어른 일꾼 품삯이 육 백원 육백원	그때 당시에 어른 놉 어른 놉값이 육 백원 육백원
나 그 돈 있어 이순신 그려지고	나 그 돈 이서 이순신 그려지고
어우 기억도 잘 하네요	어우 기억도 잘햄수다
그러니까 워낙 나니까	게난 워낙 나부니까
왜 기억 하느냐	왜 기억허느냐
그걸 나한테 가지고 왔어 번 품삯인데	그걸 나한테 가져완 번 일품인데
나한테도 육백원을 줬어	나한테도 육백원을 줜
그만큼 일을 잘 했네	그만큼 일을 잘 해신게
대단한가 보다	대단한 뭐다이
아픈 게 어딨어요? 힘든게어딨어요?	아픈 게 어디수과? 지친게어디수과?
거기까지 막 달려면서달리면서달려 왔어	거기까지 막 돌으먹돌으먹돌아완
어 너무 나 이거 나 이거 나 벌었어나 벌었어	어 너무 나 이거 나 이거 나벌언 나 벌언
우리 어머니요하나 도 안 기뻐하고요	우리 어머니예하나 도 안 기뻐하고예
할머니 오시니까요소리를지르는데	할머니 와시난예내닥산이허는디예
그만큼데리고가지 마시라고하니까	그만이도랑가지 맙센허난
그 어린걸 데리고 가서아이 전부 전부망쳐 버렸다고	그 어린걸 도랑강아이 몬 몬판내와 배댄
돈에만 눈멀어서눈 멀어서해서는돈에만 눈 멀어었다고	돈에만 지뻘겅눈 시뻘겅해가지고예돈에만 눈 벌겅했댄게
그렇지 엄마한테는 그렇게보이지	게 어멍한테는 경보이주
어어 막 소리를둘이가 막 싸웠어 시어머니하고	어어 막 내닥산이둘이가 막 싸완 시어멍광
그날 밤요털실 있잖아요털실 그 막	그날 밤예게실 있잖아예털실 그 막
울퉁불퉁 한거 울퉁불퉁 한거	오글랑 데글랑 헌거이오글랑 데글랑  헌거
뻣뻣한거	모작지근헌거
그걸로막 막 짰어 이 막 짰어 막 짰어 있잖아요돈주머니	걸로막 막 떤 이 막 짠 막 짠 있잖아예돈주맹기
 털실로 했댄 돈주머니	게실로  했댄 돈주맹기
그렇지 응	기주게 응
어머니네 한테는 절대 용돈 한번도 못 받아봤어	어머니네 한테는 절대 용돈 한번도 못받아봔
그렇지 우리 때는	게 우리 때는
산마를 파러 가거나 지네를잡거나 고사리를 꺾으거나	산마를 파러 가거나 지냉이를잡거나 고사리를 꺾으거나
그래야 내 용돈이 생기지 어머니한테는 단 돈 십원을 받아본 적이 없었어	그래야 내 용돈이 생기지 어머니한테는 단 돈 십원을 받아본 적이 어선
그래서 있잖아 어쩌다	겡 있잖아 어쩌다
맞아 우리 그걸로 막 지갑 짰었어털실로	맞아 우리 그걸로 막 지갑 짜나서게실로
맞아 끈 달아 매고	맞아 친 돌아매영
밤에요날 밝아오도록다음날 날 밝아오도록짜	밤이예동터오도록예다음날 동터오도록짜
띁었다가했다가이건 조금더 클건가	튿었닥했닥이건 호꼼더 클건가
 작을건가 어쩔땐 막 코 나가버리기도 하고막	 족을껀가 어쩔땐 막 코 나가불기도 허고막
동새 날이밝아오도록그걸 했어요	동새 동이터오도록그걸 핸예
매일요여 이렇게 열어 보구요어 있구나	매날예여 영  열어 봥예어 있구나
그랬는데 며칠 있으니까 어머니가 우리 어머니하고 할머니는요	겅했는데 며칠 있으니까 어머니가 우리 어머니하고 할머니는예
어 해마다요여름이 되면요돈내코 물 맞으러 갑니다	어 해마다예여름이 되면예돈내코 물 맞으러 갑니다이
음 옛날에 그랬지	음 옛날에 경허주게
나한테 하는 말야 너 그 돈 나 줬어어	나한테 허는말야 느 그 돈 나 줘시라어
 썼다가썼다가나중에줄께	 썼당썼당일후제랑주마
너갖고있으면잃어버리기나하지	느아졍이시믄일러불미나허주
이렇게 한거야주려고합니까?	영헌거라주고정헙니까?
안주지안 줄려고하지	안주주게안주잰허지
예?나 막 왜내가애쓰게 번돈 엄마를줘?	양?나 막 무사나가애쓰게 번돈 어멍을줘?
나 뭐 안줄꺼야이러니까	나 뭐 안주크라영허니까
그러니까 어머니가 막 주라고하니까난 끝까지 안 준거야	그러니까 어머니가 막 주랜허난난 끝까지 안준거라
당신 없을때 우리 엄마랑하고 할머니는요토평에 고모가 살아	당신 없을때 우리 어머니영하고 할머니는예토평에 고모가 살아
그 집에 가서 머물고살면서물을 며칠 맞아 여름 되면	그 집에 강 머졍살멍물을 며칠 맞아 여름 되면
주라고하니까절대 안 줬어	주랜허난절대 안 줜 
그러헥 했는데 사단이났지 이제 안 줘 놓고	겅 해신디 사단이났지 이제 안 줘 놓고
그 우리 동네에 나 우리집은요그 한람서도 젤 제일 번화가	그 우리 동네에 나 우리집은예그 한람서도 젤 제일 번화가
그렇지옛날에는	기주게옛날에는
있잖아요	있잖아예
그 흙먼지  푹푹 날리는 밟으며 푹푹 날리는	그 흙먼지 푹삭푹삭 밟으며 푹삭푹삭
푹푹 날리는하는거어	푹삭푹삭허는거어
아니들이요눈만 뜨면모두 와서북적북적거리고	아이들이예눈만 터지믄예씰어왕왕왕작작거리고
거기 놀이터니까완젼 좀 넓거든	거기 놀이터난완젼 좀 넓거든
근데요너무 너무가서 놀고 싶긴한데아이들하고가서	건디예너무 파싹강 놀고정헌디아이덜허고강
다리 춤도 하고막	가달 춤도 허고막
춤 추고 싶긴한데요	춤 추고졍헌디예
이놈의 돈 때문에	이놈의 돈 때문에이
아니 어디 집이 놔두고가고 싶긴하지만	아니 어디 집이 가냥해동가고정허지만
어 혹시나 누가와서가져 가기나할까봐	어 혹시나 누게가왕가져가불미나허카부댄
막 궁리 궁리를 하다가요	막 궁리 궁리를 허단예
백 원짜리 집에놔두고	백 원짜리 집이가냥허고
오백원짜린요	오백원짜린예
손에 들었어손에 나 손에 가져야	손에 들런손에 나 손에 가져야
그게 얼마나어린거예요?손에 봐야이거 나한테 있구나라고 확인해	그게이 어떵사두리꽈손에 봐져야이거 나한테 있구나라고 확인해
그래서요근데처음엔 가서 아이들하고 노는데요이것땜에 못 놀아	겡예건디처음엔 강 아이들하고 노는디예이것땜에 못 놀아
그렇지 그렇지	게게
종이돈 훨훨날아가버리면어떻게할꺼야	종이돈 펄펄놀아가불믄어떵헐꺼라
그런데	겅헌디
근데 어느 순간 막 이거 생각 없이 막 놀았어	근디 어느 순간 막 이거 생각 없이 막 놀안
어느 순간 순간딱 보니	어느 순간 언뜻딱 보니
어떡 할꺼야	어떵헐거니
오백원짜리가 없어	오백원짜리가 어서
그 때 정신이 혼미해지더라구요	그 때 정신이 희어떡집디다
번쩍머리가 이	바뜩머리가 이
하얘지지	희양 해주게
응 그래서	응 겐
막 거길 근데 날은 벌써 어둑어둑 한거야	막 거길 근데 날은 벌써 어둑어둑 한거라
놀던 아이들도 다 저녁 먹으러집에가버리고	놀던 아이들도 다 저녁 먹으래집더래가불고
나 혼자 막 돌아다닌거아니야 막찾아봐도있을리가있나	나 혼자 막 회를 싼거아니 막이춰자봐도이슬리가있나
없지	어쭈게게
그 엄청 많은 아이들이 놀았는데	그 엄청 많은 아이들이 놀아신디
그렇지	게
어 누가저 어이구 이거 잘됐다 하면서가지고도망갔겠지집으로	어 누게가저 어이구 이거 소망 이뤘져 해멍아졍돌았겠지집으로
그래서요 지금처럼 가로등이 있길 하나정말	겡예 지금처럼 가로등이 이시카정말
나 여기 그 책에 쓴 그대로 써요아 그걸 손전등이있길하나	나 여기 그 책에 쓴 그대로 썸수다아 그걸 후라시가이시카
빨리 뒷날이 오기를 기다렸어요그래서요	빨리 뒷날이 오기를 기다려수게겡예
그날 밤 거의 잠도못 자고요	그날 밤 거의 좀도못 자고예
뒷날 일어 나니까가서 봐도 있겠어요?	뒷날 일어나난강 봐도 이십니까?
있을리가있어 그렇지 있을리가없어	이실리가이서 게 이실리가어서
어떻게 됐겠어요? 엄마왔지	어떵 되시쿠과? 어멍왔주
매를 엄청 맞았겠네	두드려 태작 맞아시케
손으로도빗자루로도	손으로영개치락으로영
부지깽이로이렇게그냥쳐 죽게 맞았어	부지땡이로영기냥쳐 죽게 맞안
어어 매를 엄청맞았겠지 아이고	어어 두드러 패작맞았주게게 아이고
그거 줬으면될껄	거 줘시믄될껄
아니 그거종이돈을 집에와서 놔두지만은	아니 게종이돈을 집이왕 놔두주게만은게
아니 근데 왜 지갑에 놔두지왜 손에 잡았냐고	아니 근데 무사 지갑에 고냥하주무사 손엔 잡아서게
되는줄 알고눈에 보이게	되는줄 알앙눈에 보이게
지갑에 있었으면그냥 있을껄아니냐	지갑에 이서시믄그냥 이실꺼아니라
이렇게해서뛰어가면 이게 불편하잖아	영해그네들락켜 가면 이게 불편하잖아
끈 달아매고이렇게 해서 뛰어가면	친 돌아맹영 해연 들락켜가민
찾았는디그렇게	춰잤는디경
아이 그거 완전 드라마 한편이야	아이 거 완전 드라마 한편이라
그러니까그런 게 이제 이거 아 이거 잘 읽어봐야겠다	게난그런 게 이제 이거 아 이거 잘 익어봐야되켜
그러면이제 그게 이제 진짜 작품이 되는거지	거믄이제 그게 이제 진짜 작품이 되는거주게
그래서 나 정말일평생 나 진짜아픔이에요얘가	그래서 나 정말이일평생 나 진짜가멍애우다게야이게
아니 그러니가그때부터 그러니까그렇게일해서다닌거야?	아니 게난그때부터 게니까그추룩일해영다닌거?
그렇게해서 돈은 많이 벌었어?	그축허연 돈은 많이 벌언?
그렇지 무슨 누구는 누구는그렇게	게 무슨 누구는 누게는 경
 벌어 졌나요돈을 	 벌어져수과돈을게 
어릴 때그만큼일 안 한 사람 있어?	어린 때그만이일 안 헌 사람 이서?
근데있잖아요	근디있잖아예
근데 다른 데도 이렇게 합니까?	근데 다른 데도 영헙니까?
나만 이래아 지금 하야니깐 괜찮은데 조금 바람이나 불고 이렇게 하면요	나만 영해아 지금 하야니깐 괜찮은데 조금 바람이나 불고 영  허믄예
에린다고	에어비어
이번에이번에 아이 있잖아요우리 초등학교 아이요	요번에요번에 아이 있잖아예우리 초등학교 아이예
손은 정말고운 손인데	손은 잘도고운 손인디
아우 왜요알림장을 검사 해주러이렇게 해서 가잖아 나 손을 보더니 지금 지금	아우 싸게알림장을 검사 해주래영 행 가잖아 나 손을 보더니 지금 지금
시간에 따라서다르잖아색깔이요 그때는요	시간에 따랑달르잖아색깔이요 그때는예
새까맣고하면서이게 쭈글쭈글 한게 막 더 보였어	시커멍허면서이게 쭈글쭈글 한게 막 더 보연
우리 아이가 이렇게 보고어 쭈글쭈글	우리 아이가 영 봥어 쭈글쭈글
그러니까요	겅허니깐예
어우 정말 쭈굴쭈굴이 어쩌면 좋아 하면서난	어우 정말 쭈굴쭈굴이 어쩌면 좋아 허멍난예
아무렇지도 않은 척 있죠 이렇게 대답 했으면서도요	아무렇지도 않은 척 이 이렇게 대답 했으면서도예
그 아이가요얄미운거 있죠	그 아이가예얄미운거 있지예
일학년인데	일학년짜린디
우리 어머니는 일 많이 하니까여기가 되게 마디가	우리 어머니는 일 많이 허니까여기가 되게 마디가
굵잖아점점	굵으잖아점점
근데 여기는요그렇게일 했어도 부드러워	근데 여기는예그추룩일 했어도 부드러워
그것도말하려고인데	것도곧젠인데
우리 언니는 일도 안하고 그래서 아니 공부도 안하고학교도 못가면서 이제	우리 언니는 일도 안하고 겡 아니 공부도 안혀고학교도 못가면서 이제
미용사 일 하고 이렇게 했는데 언니는 나보다 훨 고와	미용사 일 허고 영 했는데 언니는 나보다 훨 꼽딱해
그거는 팔자야팔자	거는 팔자여팔자
언니보다 내가 일 더 많이 했을 리는 없잖아	언니보다 나가 일 더 많이 했을 리는 없잖아
그렇지 아니라 더 했을 수도 있어	그렇지 아니라 더 했을 수도 이서
몰라 우리도 나는 언니보단 많이 했어나는	몰라 우리도 나는 언니보단 많이 해서나는
나 진짜요	나예 진짜예
나 누구 누군가요악수 하게되면나 그렇게도제일 싫어	나 누구 누구가예악수허게되믄나 그추룩도제일 싫어
그까지 우리는 나무하러 다녔었어	그까지 우리는 낭허래 댕겨나서
우리도 나무하러 다녔어요	우리도 낭허래 댕겨수다
그러니까 우리도 그렇게 고생 했어	겨난 우리도경  고생해서
나는 솔직히 말하지만요난듣기만 해서 웃다가 나 가야지	나는 솔직히 말하쿠다만은난예듣기만 행 웃당 나 가사주
할말 없어요	골을말 어수다
준비할때 한 번 보고 #이 원래 티비에 흥미가 없어서 #이	준비할때 한 번 보고이  원래 티비에 흥미가 어서부난 이
근데 나 집에 있을 때가 별로 없어	근데 나 집에 있을 때가 별로 어서
나 운동했을 때는 집에 있는 시간 붙어있는 시간이 없었어	나 운동했을 때는 집에 있는 시간 붙어있는 시간이 없언
아 근데 진짜 할 게 없어	아 근데 진짜 할 게 어서
그러니까 신서유기를 봐봐 진짜 재밌어	그러니까 신서유기를 봐봐 진짜 재민
야 너네 집에 책 있어?	야 너네 집에 책 이서?
소설은 흥미가 없을 거 같아.	소설은 흥미가 없을 거 닮아.
성격따라 틀린 거 같아	성격따라 틀린 거 닮아
야 너 아내 발 나았어?	야 너 각시 발 나안?
뭘 발랐어?	뭘 발란?
나 뭐 발랐냐고 한 줄 알았어	나 뭐 발랐냐고 한 줄 알안
아직 안 나았어	아직 안 나안
야 어떡해? 그거 심각하게 부러진 거야?	야 어떵? 그거 심각하게 부러진 거?
못 걸어?	못 걸으맨?
발가락 기브스 매우 귀여워 약간 배	발가락 기브스 잘도 귀여워 약간 배
씌우는 망같이 생겼어	씌우는 망같이 생견
그럼 걔 집에만 있어? 계속?	그럼 가이 집에만 이서? 계속?
야 근데 원래 발가락 다쳐도 전체적으로 깁스하는 거 아니야?	야 근데 원래 발가락 다쳐도 전체적으로 깁스하는 거 아니?
발 전체 저번에 는 그렇게 했는데	발 전체 저번에 는 겅 해신디
병원마다 틀린가? 그거 제대병원에서 그렇게 해줬다던데?	병원마다 틀린가? 그거 제대병원에서 겅 해줬다던디?
지금은 붙으니깐 그걸 배망 같은 걸 그거 씌워서	지금은 붙으니깐 그걸 배망 같은 걸 그거 씌워그넹
할머니인가? 할아버지인가 아 할아버지가 돌아가셨는데	할머니인가? 할아버지인가 아 할아버지가 돌아가셨는디
할아버지가 휠체어에서 심장이 멈춰버렸대?	할아버지가 휠체어에서 심장이 멈춰부렀댄?
어 멈춰버렸는데	어 멈춰부러신디
막 그래서 도와달라고 했는데	막 겡 도와달라고 해신디
그때 가 없고 이모가 있었대?	그때 가 없고 이모가 있었댄?
막 도와달라고 했는데 잠깐만 기다려보라고 해서 그 사람들은	막 도와달라고 해신디 잠깐만 기다려보랜 행 그 사람들은
그래서 심폐소생술을 할 사람 없어가지고 심장이 멈춰버렸어	겡 심폐소생술을 할 사람 없어가지고 심장이 멈춰부런
그렇게 그렇게 해서	겅 겅 해부니까
그거 뭐라고 하지? 그 시간	그거 뭐랜 하지? 그 시간
어 골든타임 놓쳤어	어 골든타임 놓쳔
그래서 할아버지 거기서 돌아가신 거야?	겅 하르방 거기서 돌아가신 거?
부족한 거야? 인력이?	부족한 거? 인력이?
요즘 좀 막 그러잖아 막 좀	요즘 좀 막 겅하네 막 좀
그건 좀 아니지 않아?	그건 좀 아니지 안?
제대 병원에서 돌아가셨다고? 그거는 거의 과실 아니야?	제대 병원에서 돌아가셨다고? 그거는 거의 과실 아니?
그러니까 이제 이렇게	그러니까 이제 영
검사받는 도중에서 이렇게 휠체어를 타고 움직이다가 이제	검사받는 도중에서 영 휠체어를 타고 움직이당 이제
심장마비 와서 했는데 이모는 뭐 심폐소생술을 할 줄 아나?	심장마비 와가지고 해신디 이모는 뭐 심폐소생술을 할 줄 아나?
도와달라고 도와달라고 막 이랬는데	도와달라고 도와달라고 막 영해신디
잠깐만 기다려 보세요 잠깐만 기다려 보세요 하다가 그렇게 됐대	잠깐만 기다려 보세요 잠깐만 기다려 보세요 하다가 겅 됐댄
조금 좀 아 잠깐 기다리세요 막 이렇게 했던 거 같아	조금 좀 아 잠깐 기다리세요 막 이렇게 했던 거 닮아
근데 난 제대 병원 별로인 거 같아	근데 난 제대 병원 별로인 거 닮아
한라병원 괜찮았어?	한라병원 괜찮앤?
어 나도 계속 한라병원에 있었어	어 나도 계속 한라병원에 있어서
진짜 꼼꼼해야 될거 같고 실수 잘 안 하는 사람이 해야될 거 같아	진짜 꼼꼼해야 될거 같고 실수 잘 안 하는 사람이 해야될 거 닮아
항생제 주사가 그렇게 아프지 않았어?	항생제 주사가 겅 아프지 않앤?
그건 빨리 넣어서 그런 거 아니야?	그건 빨리 넣어서 그런 거 아니?
나는 좀 천천히 넣어줬어	나는 좀 천천히 넣어줜
존나 아프던데	존나 아프던디
야 그 뭐가 아프대 그 친구 옛날에 입원했을 때 갔었는데	야 그 뭐가 아프댄 그 친구 옛날에 입원했을 때 갔었는데
걔 막 우리 앞에서도 울 정도였어 여기 뒤에 척추에 척수	걔 막 우리 앞에서도 울 정도연 여기 뒤에 척추에 척수
주사 맞는 거 맞았는데	주사 맞는 거 맞아신디
걔 막 엄청 막 엄청 아프대	걔 막 엄청 막 엄청 아프댄
너 맞아봤어?	너 맞아봔?
옆으로 이렇게 옆으로 돌아 누우라고 해?	옆으로 영 옆으로 돌앙 누우랜 해?
걔는 허리 숙이라고 했어 앉아서	걔는 허리 숙이라고 핸 앉아서
허리에 소독해서 그 척수 쪽으로 이렇게 연결해서 뽑아.	허리에 소독행 그 척수 쪽으로 이렇게 연결행 뽑아.
근데 울 정도로 아픈 거야?	근데 울 정도로 아픈 거?
난 안 울었는데?	난 안 울어신디?
매우 아프겠지.	잘도 아프겠지.
